,Name,Venue_Category,Neighborhood,District,Latitude,Longitude
0,Tre Kronor,Scandinavian Restaurant,Albany Park,Albany Park,41.97584188275329,-87.71103719387324
1,Noon O Kabab,Middle Eastern Restaurant,Albany Park,Albany Park,41.96670023399335,-87.70833185402098
2,2 Asian Brothers,Vietnamese Restaurant,Albany Park,Albany Park,41.97583207850203,-87.7096548409973
3,Great Sea Chinese Restaurant,Chinese Restaurant,Albany Park,Albany Park,41.96849636464853,-87.71067780634868
4,Lawrence Fish Market,Seafood Restaurant,Albany Park,Albany Park,41.968279822453226,-87.7262500589637
5,L.D. Pho,Vietnamese Restaurant,Albany Park,Albany Park,41.96731602823035,-87.70849853886685
6,Starbucks,Coffee Shop,Albany Park,Albany Park,41.968910846044786,-87.72881662266138
7,la Michoacana Premium,Ice Cream Shop,Albany Park,Albany Park,41.96855854786914,-87.70650952392326
8,River Park,Park,Albany Park,Albany Park,41.97397526178018,-87.70260879988199
9,Galter LifeCenter,Gym,Albany Park,Albany Park,41.9754777,-87.70075530000003
10,Gompers Park,Park,Albany Park,Albany Park,41.975471538060724,-87.73407806497136
11,La Brasa Roja,South American Restaurant,Albany Park,Albany Park,41.96122269382181,-87.70688295430658
12,Nhu Lan Bakery,Sandwich Place,Albany Park,Albany Park,41.96859801701713,-87.69447070902672
13,Monti's,Sandwich Place,Albany Park,Albany Park,41.968243063886064,-87.6949782170677
14,Bloom Yoga Studio,Yoga Studio,Albany Park,Albany Park,41.966510458840055,-87.69376062057495
15,HarvesTime Foods,Supermarket,Albany Park,Albany Park,41.96883,-87.69525
16,Hot Nails,Nail Salon,Albany Park,Albany Park,41.953941391039315,-87.71752396448306
17,Jimmy's Pizza Cafe,Pizza Place,Albany Park,Albany Park,41.97591929948236,-87.69222853478773
18,Goosefoot,New American Restaurant,Albany Park,Albany Park,41.96860996532721,-87.69598804838718
19,Horner Park,Park,Albany Park,Albany Park,41.95856355000815,-87.69809537154144
20,Independence Park,Park,Albany Park,Albany Park,41.953623626008856,-87.72369026964222
21,Shibam City Restaurant,Middle Eastern Restaurant,Albany Park,Albany Park,41.96817495207393,-87.74026759102091
22,Gene’s Sausage Shop,Butcher,Albany Park,Albany Park,41.967863043774564,-87.68821617849744
